,etl_primary_key,database_name,table,column,function,val1,val2,val3
0,1.0,raw_lrs,lrs_raw_projects,scheme_name,rename_column,scheme_name,scheme_name,
1,2.0,raw_lrs,lrs_raw_projects,project_code,rename_column,project_code,project_id,
2,3.0,raw_lrs,lrs_raw_projects,project_name,rename_column,project_name,project_name,
3,4.0,raw_lrs,lrs_raw_projects,expected_start_dt,rename_column,expected_start_dt,expected_start_date,
4,5.0,raw_lrs,lrs_raw_projects,expected_end_dt,rename_column,expected_end_dt,expected_end_date,
5,6.0,raw_lrs,lrs_raw_projects,proj_ref_nmbr,rename_column,proj_ref_nmbr,proj_ref_number,
6,7.0,raw_lrs,lrs_raw_projects,year_of_work,rename_column,year_of_work,year_work,
7,8.0,raw_lrs,lrs_raw_projects,proj_admin_app_date,rename_column,proj_admin_app_date,proj_admin_app_date,
8,9.0,raw_lrs,lrs_raw_projects,proj_admin_app_date,change_dtype,date,,
9,10.0,raw_lrs,lrs_raw_projects,proj_status,rename_column,proj_status,proj_status,
10,11.0,raw_lrs,lrs_raw_projects,project_cost,rename_column,project_cost,budgeted_cost,
11,12.0,raw_lrs,lrs_raw_projects,major_activity_code,rename_column,major_activity_code,work_id,
12,13.0,raw_lrs,lrs_raw_projects,major_activity_name,rename_column,major_activity_name,work_name,
13,14.0,raw_lrs,lrs_raw_projects,major_activity_cost,rename_column,major_activity_cost,work_cost,
14,15.0,raw_lrs,lrs_raw_projects,major_activity_start_date,rename_column,major_activity_start_date,work_start_date,
15,16.0,raw_lrs,lrs_raw_projects,major_activity_end_date,rename_column,major_activity_end_date,work_end_date,
16,17.0,raw_lrs,lrs_raw_projects,major_activity_status,rename_column,major_activity_status,work_status,
17,18.0,raw_lrs,lrs_raw_projects,org_name,rename_column,org_name,district_name,
18,19.0,raw_lrs,lrs_raw_projects,pending_with,rename_column,pending_with,pending_with,
19,20.0,raw_lrs,lrs_raw_projects,project_crt_date,rename_column,project_crt_date,project_creation_date,
20,21.0,raw_lrs,lrs_raw_projects,approved_on,rename_column,approved_on,approved_on,
21,22.0,raw_lrs,lrs_raw_projects,approved_by,rename_column,approved_by,approved_by,
22,23.0,raw_lrs,lrs_raw_projects,expected_start_date,change_dtype,date,,
23,24.0,raw_lrs,lrs_raw_projects,expected_end_date,change_dtype,date,,
24,25.0,raw_lrs,lrs_raw_projects,work_start_date,change_dtype,date,,
25,26.0,raw_lrs,lrs_raw_projects,work_end_date,change_dtype,date,,
26,27.0,raw_lrs,lrs_raw_projects,approved_on,change_dtype,date,,
27,28.0,raw_lrs,lrs_raw_projects,scheme_name,regex_column,\?,blank,
28,29.0,raw_lrs,lrs_raw_projects,proj_ref_number,column_replace,123456,blank,
29,30.0,raw_lrs,lrs_raw_projects,project_creation_date,change_dtype,date,,
30,1.0,raw_lrs,lrs_raw_payments,qcsj_c000000003700000,drop_column,,,
31,2.0,raw_lrs,lrs_raw_payments,req_ref_no,drop_column,,,
32,3.0,raw_lrs,lrs_raw_payments,req_entry_ref_no,rename_column,req_entry_ref_no,req_ref_no,
33,4.0,raw_lrs,lrs_raw_payments,request_from_unit,rename_column,request_from_unit,req_district_name,
34,5.0,raw_lrs,lrs_raw_payments,request_to_unit,drop_column,,,
35,6.0,raw_lrs,lrs_raw_payments,req_status,rename_column,req_status,req_status,
36,7.0,raw_lrs,lrs_raw_payments,total_req_amount,rename_column,total_req_amount,req_total_amount,
37,8.0,raw_lrs,lrs_raw_payments,req_remarks,rename_column,req_remarks,req_remarks,
38,9.0,raw_lrs,lrs_raw_payments,payee_code,rename_column,payee_code,req_contractor_id,
39,10.0,raw_lrs,lrs_raw_payments,payee_name,rename_column,payee_name,req_contractor_name,
40,11.0,raw_lrs,lrs_raw_payments,req_scheme_name,rename_column,req_scheme_name,req_scheme_name,
41,12.0,raw_lrs,lrs_raw_payments,req_project_name,rename_column,req_project_name,req_project_name,
42,13.0,raw_lrs,lrs_raw_payments,req_major_activity_name,rename_column,req_major_activity_name,req_work_name,
43,14.0,raw_lrs,lrs_raw_payments,pending_with_request,drop_column,,,
44,15.0,raw_lrs,lrs_raw_payments,req_major_activity_code,rename_column,req_major_activity_code,req_work_id,
45,16.0,raw_lrs,lrs_raw_payments,req_making_date,drop_column,,,
46,17.0,raw_lrs,lrs_raw_payments,req_major_activity_start_date,rename_column,req_major_activity_start_date,req_work_start_date,
47,18.0,raw_lrs,lrs_raw_payments,req_major_activity_end_date,rename_column,req_major_activity_end_date,req_work_end_date,
48,19.0,raw_lrs,lrs_raw_payments,req_major_activity_est_cost,rename_column,req_major_activity_est_cost,req_budgeted_cost,
49,20.0,raw_lrs,lrs_raw_payments,req_project_code,rename_column,req_project_code,req_project_id,
50,21.0,raw_lrs,lrs_raw_payments,req_year_of_work,rename_column,req_year_of_work,req_year_work,
51,22.0,raw_lrs,lrs_raw_payments,req_financial_year,rename_column,req_financial_year,req_financial_year,
52,23.0,raw_lrs,lrs_raw_payments,rel_transaction_ref_no,drop_column,,,
53,24.0,raw_lrs,lrs_raw_payments,rel_entry_ref_no,rename_column,rel_entry_ref_no,rel_ref_no,
54,25.0,raw_lrs,lrs_raw_payments,release_from_unit,drop_column,,,
55,26.0,raw_lrs,lrs_raw_payments,release_to_unit,rename_column,release_to_unit,rel_district_name,
56,27.0,raw_lrs,lrs_raw_payments,rel_status,rename_column,rel_status,rel_status,
57,28.0,raw_lrs,lrs_raw_payments,rel_remarks,rename_column,rel_remarks,rel_remarks,
58,29.0,raw_lrs,lrs_raw_payments,payee_rel_amount,rename_column,payee_rel_amount,rel_actual_cost,
59,30.0,raw_lrs,lrs_raw_payments,payee_net_amount,rename_column,payee_net_amount,rel_actual_net_cost,
60,31.0,raw_lrs,lrs_raw_payments,payee_deduction,rename_column,payee_deduction,rel_actual_deduction,
61,32.0,raw_lrs,lrs_raw_payments,rel_payee_code,rename_column,rel_payee_code,rel_contractor_id,
62,33.0,raw_lrs,lrs_raw_payments,rel_payee_name,rename_column,rel_payee_name,rel_contractor_name,
63,34.0,raw_lrs,lrs_raw_payments,rel_payments_remarks,drop_column,,,
64,35.0,raw_lrs,lrs_raw_payments,payment_status,rename_column,payment_status,rel_payment_status,
65,36.0,raw_lrs,lrs_raw_payments,qcsj_c000000003700001,drop_column,,,
66,37.0,raw_lrs,lrs_raw_payments,pending_with_release,drop_column,,,
67,38.0,raw_lrs,lrs_raw_payments,processing_date,rename_column,processing_date,rel_processing_date,
68,39.0,raw_lrs,lrs_raw_payments,rel_major_activity_code,rename_column,rel_major_activity_code,rel_work_id,
69,40.0,raw_lrs,lrs_raw_payments,rel_utr_no,rename_column,rel_utr_no,rel_utr_no,
70,41.0,raw_lrs,lrs_raw_payments,rel_making_date,drop_column,,,
71,42.0,raw_lrs,lrs_raw_payments,rel_approval_date,rename_column,rel_approval_date,rel_approval_date,
72,43.0,raw_lrs,lrs_raw_payments,rel_major_activity_start_date,rename_column,rel_major_activity_start_date,rel_work_start_date,
73,44.0,raw_lrs,lrs_raw_payments,rel_major_activity_end_date,rename_column,rel_major_activity_end_date,rel_work_end_date,
74,45.0,raw_lrs,lrs_raw_payments,rel_major_activity_est_cost,rename_column,rel_major_activity_est_cost,rel_budgeted_cost,
75,46.0,raw_lrs,lrs_raw_payments,rel_project_code,rename_column,rel_project_code,rel_project_id,
76,47.0,raw_lrs,lrs_raw_payments,rel_year_of_work,rename_column,rel_year_of_work,rel_year_work,
77,48.0,raw_lrs,lrs_raw_payments,rel_financial_year,rename_column,rel_financial_year,rel_financial_year,
78,49.0,raw_lrs,lrs_raw_payments,req_scheme_name,regex_column,\?,blank,
79,50.0,raw_lrs,lrs_raw_payments,rel_contractor_name,change_case,proper,,
80,51.0,raw_lrs,lrs_raw_payments,rel_utr_no,column_replace,CMSRefNotValid,blank,
81,52.0,raw_lrs,lrs_raw_payments,req_approval_date,change_dtype,date,,
82,53.0,raw_lrs,lrs_raw_payments,req_work_start_date,change_dtype,date,,
83,54.0,raw_lrs,lrs_raw_payments,req_work_end_date,change_dtype,date,,
84,55.0,raw_lrs,lrs_raw_payments,rel_approval_date,change_dtype,date,,
85,56.0,raw_lrs,lrs_raw_payments,rel_work_start_date,change_dtype,date,,
86,57.0,raw_lrs,lrs_raw_payments,rel_work_end_date,change_dtype,date,,
87,58.0,raw_lrs,lrs_raw_payments,req_contractor_name,channge_case,proper,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
